,inference_id,split_layer,total_time_ns,inf_time_client,inf_time_edge,transmission_latency_ns
0,05d62221-a2b2-4e78-8398-57b4ab5e6fba,10,152160090,88520853,20375237,43264000
1,08650560-d113-4228-b76a-11ef56f0bf38,1,254468394,16070993,44797401,193600000
2,145961d3-85de-4fee-b2e9-8afb1167aaa6,6,130296115,64443541,33404575,32447999
3,17662b5a-60a7-40f2-afcb-fea7d3104771,19,260759063,255410329,1252734,4096000
4,1846b0dd-f5f0-4e7e-8fb0-2683d502bf2e,18,210885762,201443719,5346043,4096000
5,2142ae69-ea67-4384-b6fb-84cb8f3d3227,9,140059462,77132732,19662730,43264000
6,2330580f-1700-4b85-bad2-9d960338c837,0,452584069,302056069,0,150528000
7,25eda672-62a6-44ab-8c3f-28629af6d71c,4,215972681,41121217,34883464,139968000
8,2cf19354-fefc-473a-8379-0f0635ef44a8,11,160890758,100849884,16776874,43264000
9,321e7d96-09bb-44b8-973c-e26a12e12e7d,20,50720838,0,50720838,0
10,32c5e92b-328b-4188-b4c1-1f8d05f2ada7,2,254658181,15633609,45424572,193600000
11,44e711aa-3b85-4a2d-9496-d51f0523cb93,5,221122436,40971145,40183291,139968000
12,4a33a4b1-2aec-4a3a-9d20-a415c18cd82c,17,194062768,184739051,5227717,4096000
13,5054162e-461e-4a22-839f-bea3a9913c6f,17,207256596,197779943,5380653,4096000
14,5af52aaa-8eba-4f81-8310-f42d0ca3effa,1,269606744,18303754,57702990,193600000
15,5b3f17ad-b086-4763-bd9b-4b91e9175dce,6,113125862,47434710,33243153,32447999
16,5d37ef0c-7163-4d77-b9f9-8037023c905b,12,161778431,102873686,15640745,43264000
17,5e121c72-a1f6-446e-b806-0678d007e6ed,11,150061893,89937296,16860597,43264000
18,695aa927-23f7-49fb-ba7e-0c74103657f2,14,116657261,92770899,14670362,9216000
19,70a6f9b7-9c54-4509-bebb-2c43e5485d7a,15,117251015,93231724,14803291,9216000
20,823757b7-7c14-45f9-8538-339ef960c57f,0,493724566,343196566,0,150528000
21,83da6a0a-a020-45b4-b03e-773cd4e36012,15,131024485,107547484,14261001,9216000
22,8982e5c5-0d85-4a7f-84cb-4901647f0eda,8,198568498,104647233,29025266,64895999
23,90c6917f-b547-456f-baff-f523a1cc88c9,13,116640995,92169297,15255698,9216000
24,932e667a-8977-4601-a7cc-ee2763c1dedb,7,155898565,60773949,30228617,64895999
25,9bc9b52c-f4c2-4c66-967d-a4191afceac1,10,142202132,78819857,20118275,43264000
26,9d3a0245-4a42-4441-9d22-ba3709125057,7,178101184,86478828,26726357,64895999
27,9ec67d3b-895a-4a25-b31b-1bf0b9a26697,5,221358926,45482964,35907962,139968000
28,a476985b-ffd0-4e25-b0a3-548fbccd681a,20,50415055,0,50415055,0
29,a590de43-d2ed-41f8-b038-f640979f2154,14,131843297,107500765,15126532,9216000
30,b0e5adea-baa0-42ee-97da-0ee625f36f7a,4,217172026,43625531,33578495,139968000
31,b1b1de96-edda-4f0a-91ab-4ef92cd58fa1,16,207811170,198455154,5260016,4096000
32,b2361f19-8a1b-475e-8a36-fac127583635,8,155627729,61747194,28984536,64895999
33,b510d1e9-5408-41d0-9f38-8480ebd59598,3,107266091,18159757,42450334,46656000
34,ca8ada2e-6303-41dc-84c2-c465566f7ded,2,266336675,17368862,55367813,193600000
35,d70ae45d-82b8-46e4-875a-4f4138a1f08c,3,109322200,20318297,42347903,46656000
36,e41f6a7d-f746-40dc-8d70-9aad19d63f30,18,193165979,183706419,5363560,4096000
37,e43e0f87-e5d7-4026-9a76-88430284dbc5,12,149939845,90911022,15764823,43264000
38,e4ffc75a-a337-48eb-b79f-e2071175f2a3,9,152321453,88774535,20282918,43264000
39,f2538ed7-5fd8-4bc3-9b0a-8f86a60f8e4e,19,257563670,252216192,1251478,4096000
40,fa77be7e-95ad-4068-858b-60a2e8467c19,13,128293663,104302888,14774775,9216000
41,fdfe455d-5312-4d95-9701-8b2d7fc3bf97,16,193739734,184488818,5154916,4096000
